trading_date,asset,liability,rfr,gap,equity
2020-04-27,1739794796342.85,1329232058699.2402,0.011659999999999998,0.0,292499460866.0
2020-05-06,1739794796342.85,1329232058699.2402,0.01188,0.01646090534979424,296794275206.0
2020-05-11,1739794796342.85,1329232058699.2402,0.01233,0.012345679012345678,298489596656.0
2020-05-12,1739794796342.85,1329232058699.2402,0.0126,0.00411522633744856,293064568016.0
2020-05-14,1739794796342.85,1329232058699.2402,0.0126,0.00823045267489712,288091625095.0
2020-05-18,1739794796342.85,1329232058699.2402,0.014,0.00823045267489712,296229168056.0
2020-05-20,1739794796342.85,1329232058699.2402,0.01442,0.00823045267489712,289447882256.0
2020-05-21,1739794796342.85,1329232058699.2402,0.01459,0.00411522633744856,289108817966.0
2020-05-22,1739794796342.85,1329232058699.2402,0.015,0.00411522633744856,284361917905.0
2020-05-25,1739794796342.85,1329232058699.2402,0.015,0.00411522633744856,287752560805.0
2020-05-26,1739794796342.85,1329232058699.2402,0.015,0.00411522633744856,291934353716.0
2020-05-28,1739794796342.85,1329232058699.2402,0.01584,0.00823045267489712,295438018046.0
2020-06-01,1739794796342.85,1329232058699.2402,0.0165,0.00823045267489712,298376575226.0
2020-06-03,1739794796342.85,1329232058699.2402,0.0172,0.00823045267489712,303349518147.0
2020-06-08,1739794796342.85,1329232058699.2402,0.02094,0.012345679012345678,300637003827.0
2020-06-10,1739794796342.85,1329232058699.2402,0.020950000000000003,0.00823045267489712,295890103766.0
2020-06-12,1739794796342.85,1329232058699.2402,0.0208,0.00823045267489712,298691894888.0
2020-06-15,1739794796342.85,1329232058699.2402,0.0208,0.00411522633744856,297413944346.0
2020-06-16,1739794796342.85,1329232058699.2402,0.0208,0.00411522633744856,299969845430.0
2020-06-17,1739794796342.85,1329232058699.2402,0.02133,0.00411522633744856,298343362922.0
2020-06-18,1739794796342.85,1329232058699.2402,0.0215,0.00411522633744856,300783086684.0
2020-06-19,1739794796342.85,1329232058699.2402,0.0215,0.00411522633744856,301480150616.0
2020-06-22,1739794796342.85,1329232058699.2402,0.0217,0.00411522633744856,298459540244.0
2020-06-23,1739794796342.85,1329232058699.2402,0.0225,0.00411522633744856,296833057736.0
2020-06-24,1739794796342.85,1329232058699.2402,0.0228,0.00411522633744856,306708130106.0
2020-06-29,1739794796342.85,1329232058699.2402,0.02165,0.00411522633744856,301131618650.0
2020-06-30,1806186613769.1,1376927317910.17,0.0216,0.00411522633744856,303687519734.0
